volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Koryaksky,Russia,Stratovolcano,53.32,158.69,3456,Europe
Koshelev,Russia,Stratovolcano,51.36,156.75,1812,Europe
Krafla,Iceland,Caldera,65.73,-16.78,818,Europe
Krakatau,Indonesia,Stratovolcano,-6.1,105.42,813,Asia
Krasheninnikov,Russia,Stratovolcano,54.59,160.27,1856,Europe
Kronotsky,Russia,Stratovolcano,54.75,160.53,3528,Europe
Ksudach,Russia,Stratovolcano,51.8,157.53,1079,Europe
Kukak,United States,Stratovolcano,58.45,-154.36,2043,North America
Kusatsu-Shirane,Japan,Stratovolcano,36.64,138.54,2171,Asia
Kutcharo,Japan,Caldera,43.61,144.44,999,Asia
Kuttara,Japan,Stratovolcano,42.49,141.16,581,Asia
Kuwae,Vanuatu,Caldera,-16.83,168.54,-2,Australia
La Palma,Spain,Stratovolcano,28.57,-17.83,2426,Europe
Lamington,Papua New Guinea,Stratovolcano,-8.95,148.15,1680,Australia
Langila,Papua New Guinea,Stratovolcano,-5.53,148.42,1330,Australia
Lanzarote,Spain,Fissure vent,29.03,-13.63,670,Europe
Láscar,Chile,Stratovolcano,-23.37,-67.73,5592,South America
Lereboleng,Indonesia,Complex,-8.36,122.84,1117,Asia
Lewotobi,Indonesia,Stratovolcano,-8.54,122.78,1703,Asia
Lewotolo,Indonesia,Stratovolcano,-8.27,123.51,1423,Asia
Liamuiga,St. Kitts and Nevis,Stratovolcano,17.37,-62.8,1156,North America
Lipari,Italy,Stratovolcano,38.48,14.95,602,Europe
Little Sitkin,United States,Stratovolcano,51.95,178.54,1174,North America
Loihi,United States,Submarine,18.92,-155.27,-975,North America
Lokon-Empung,Indonesia,Stratovolcano,1.36,124.79,1580,Asia
Lolo,Papua New Guinea,Stratovolcano,-5.47,150.51,805,Australia
Lolobau,Papua New Guinea,Caldera,-4.92,151.16,858,Australia
Loloru,Papua New Guinea,Stratovolcano,-6.52,155.62,1887,Australia
Long Island,Papua New Guinea,Complex,-5.36,147.12,1280,Australia
Longonot,Kenya,Stratovolcano,-0.91,36.45,2776,Africa
Lopevi,Vanuatu,Stratovolcano,-16.51,168.35,1413,Australia
Maderas,Nicaragua,Stratovolcano,11.45,-85.52,1394,North America
Mageik,United States,Stratovolcano,58.2,155.25,2165,North America
Mahawu,Indonesia,Stratovolcano,1.36,124.86,1324,Asia
Makian,Indonesia,Stratovolcano,0.32,127.4,1357,Asia
Maly Semiachik,Russia,Caldera,54.13,159.67,1560,Europe
Manam,Papua New Guinea,Stratovolcano,-4.08,145.04,1807,Australia
Mariveles,Philippines,Stratovolcano,14.52,120.47,1388,Asia
Marsabit,Kenya,Shield,2.32,37.97,1707,Africa
Masaya,Nicaragua,Caldera,11.98,-86.16,635,North America
